id,phone_name,phone_brand,category,release_date,processor_name,processor_brand,processor_series,processor_generation,x_metric_antutu_score,x_metric_antutu_rank,y_price_amount,y_price_currency,y_price_inr,y_price_usd,y_price_type,price_source,price_raw_value,price_confidence,launch_price_candidates,current_price_candidates,source_urls,source_matches,missing_fields,is_v1_flagship,device_family,release_year,device_variant,canonical_model,cpu_geekbench6_single_core,cpu_geekbench6_multi_core,cpu_source_url,cpu_observed_at,cpu_match_confidence,gpu_3dmark_wild_life_extreme_score,gpu_3dmark_wild_life_extreme_fps,gpu_source_url,gpu_observed_at,gpu_match_confidence,ai_geekbench_quantized_score,ai_backend,ai_accelerator,ai_precision,ai_source_url,ai_observed_at,ai_match_confidence,benchmark_status,benchmark_review_reason,benchmark_last_checked_at,benchmark_source_hash
redmi-k70-xiaomi-snapdragon-8-gen-2-android-ai-phone,Redmi K70,Xiaomi,android_ai_phone,2023-11-29,Snapdragon 8 Gen 2,Snapdragon,flagship,8 Gen 2,1178012,39,29999,INR,29999,344.82,current,smartprix,"INR 29,999",0.9,350|USD|30450|350|smartprix|0.95,29999|INR|29999|344.82|smartprix|0.9,https://www.smartprix.com/mobiles/xiaomi-redmi-k70-ppd12aey24m9,smartprix|Redmi K70|1,,false,,2023,,,,,,,,,,,,,,,,,,,,not_eligible,,,
samsung-galaxy-s23-ultra-samsung-snapdragon-8-gen-2-android-ai-phone,Samsung Galaxy S23 Ultra,Samsung,android_ai_phone,2023-02-17,Snapdragon 8 Gen 2,Snapdragon,flagship,8 Gen 2,1139786,40,79999,INR,79999,919.53,current,smartprix,"INR 79,999",0.9,1199|USD|104313|1199|smartprix|0.95,79999|INR|79999|919.53|smartprix|0.9,https://www.smartprix.com/mobiles/samsung-galaxy-s23-ultra-ppd1u1ch94n3,smartprix|Samsung Galaxy S23 Ultra|1,,true,Galaxy S,2023,Ultra,Galaxy S23 Ultra,1783,4731,https://browser.geekbench.com/v6/cpu/18933767,2026-08-07T21:34:14+00:00,1.0,,,,,,29790,TensorFlow Lite,QNN,INT8,https://browser.geekbench.com/android_devices/samsung-galaxy-s23-ultra,2026-08-07T21:34:14+00:00,1.0,missing_gpu,gpu:source_unavailable,2026-08-07T21:34:14+00:00,ab15111c5f5c2ce0
iphone-16-pro-apple-a18-pro-ios,iPhone 16 Pro,Apple,ios,2024-09-20,A18 Pro,Other,other,Other,1724111,24,107900,INR,107900,1240.23,current,reliance-digital,"INR 1,07,900",0.82,,107900|INR|107900|1240.23|reliance-digital|0.82,https://www.reliancedigital.in/collection/iphone-16-pro-19-02,reliance-digital|iPhone 16 Pro|1,,true,iPhone,2024,Pro,Iphone 16 Pro,3432,8604,https://browser.geekbench.com/v6/cpu/18934318,2026-08-07T21:34:14+00:00,1.0,,,,,,45292,Core ML,Neural Engine,INT8,https://browser.geekbench.com/ios_devices/iphone-16-pro,2026-08-07T21:34:14+00:00,1.0,missing_gpu,gpu:source_unavailable,2026-08-07T21:34:14+00:00,8ee512a066c9ac10
iphone-16-pro-max-apple-a18-pro-ios,iPhone 16 Pro Max,Apple,ios,2024-09-20,A18 Pro,Other,other,Other,1689843,26,134900,INR,134900,1550.57,current,flipkart,"INR 1,34,900",0.82,,134900|INR|134900|1550.57|flipkart|0.82,https://www.flipkart.com/apple-iphone-16-pro-max-desert-titanium-256-gb/p/itmb102b8a51100e,flipkart|iPhone 16 Pro Max|1,,true,iPhone,2024,Pro Max,Iphone 16 Pro Max,3474,8676,https://browser.geekbench.com/v6/cpu/18933038,2026-08-07T21:34:14+00:00,1.0,,,,,,45083,Core ML,Neural Engine,INT8,https://browser.geekbench.com/ios_devices/iphone-16-pro-max,2026-08-07T21:34:14+00:00,1.0,missing_gpu,gpu:source_unavailable,2026-08-07T21:34:14+00:00,bbdca35e72db2264
poco-pad-x1-poco-snapdragon-7-plus-gen-3-android-lite,Poco Pad X1,POCO,android_lite,2024-05-23,Snapdragon 7+ Gen 3,Snapdragon,premium,7+ Gen 3,1705605,29,26999,INR,26999,310.33,current,smartprix,"INR 26,999",0.9,399|USD|34713|399|smartprix|0.95,26999|INR|26999|310.33|smartprix|0.9,https://www.smartprix.com/tablets/poco-pad-5g-ppd13a96k30n,smartprix|Poco Pad X1|1,,false,,2024,,,,,,,,,,,,,,,,,,,,not_eligible,,,
mi-pad-7-xiaomi-snapdragon-7-plus-gen-3-android-lite,Mi Pad 7,Xiaomi,android_lite,2024-10-23,Snapdragon 7+ Gen 3,Snapdragon,premium,7+ Gen 3,1661166,30,26999,INR,26999,310.33,current,smartprix,"INR 26,999",0.9,1999|CNY|22989|264.24|smartprix|0.95,26999|INR|26999|310.33|smartprix|0.9,https://www.smartprix.com/tablets/xiaomi-pad-7-ppd1u9fcp02c,smartprix|Mi Pad 7|1,,false,,2024,,,,,,,,,,,,,,,,,,,,not_eligible,,,
ipad-11-apple-a16-ios,iPad 11,Apple,ios,2022-10-26,A16,Other,other,Other,1693765,25,34900,INR,34900,401.15,current,apple,"INR 34,900",0.85,349|USD|30363|349|apple|0.9,34900|INR|34900|401.15|apple|0.85,https://www.apple.com/in/ipad-10.9/,apple|iPad 11|1,,false,,2022,,,,,,,,,,,,,,,,,,,,not_eligible,,,
iphone-15-plus-apple-a16-ios,iPhone 15 Plus,Apple,ios,2023-09-22,A16,Other,other,Other,1561917,28,75900,INR,75900,872.41,current,apple-in,"INR 75,900",0.9,899|USD|78213|899|apple-in|0.95,75900|INR|75900|872.41|apple-in|0.9,https://www.apple.com/in/shop/buy-iphone/iphone-15,apple-in|iPhone 15 Plus|1,,true,iPhone,2023,Plus,Iphone 15 Plus,2519,6362,https://browser.geekbench.com/v6/cpu/18933298,2026-08-07T21:34:14+00:00,1.0,,,,,,22299,Core ML,Neural Engine,INT8,https://browser.geekbench.com/ios_devices/iphone-15-plus,2026-08-07T21:34:14+00:00,1.0,missing_gpu,gpu:source_unavailable,2026-08-07T21:34:14+00:00,39964496e7366d87
iphone-15-apple-a16-ios,iPhone 15,Apple,ios,2023-09-22,A16,Other,other,Other,1559009,29,65900,INR,65900,757.47,current,apple-in,"INR 65,900",0.9,799|USD|69513|799|apple-in|0.95,65900|INR|65900|757.47|apple-in|0.9,https://www.apple.com/in/shop/buy-iphone/iphone-15,apple-in|iPhone 15|1,,true,iPhone,2023,Standard,Iphone 15,2596,6219,https://browser.geekbench.com/v6/cpu/18934159,2026-08-07T21:34:14+00:00,1.0,,,,,,23853,Core ML,Neural Engine,INT8,https://browser.geekbench.com/ios_devices/iphone-15,2026-08-07T21:34:14+00:00,1.0,missing_gpu,gpu:source_unavailable,2026-08-07T21:34:14+00:00,57d8d55ecae0bc67
iphone-14-pro-apple-a16-ios,iPhone 14 Pro,Apple,ios,2022-09-16,A16,Other,other,Other,1317587,37,99900,INR,99900,1148.28,current,flipkart,"INR 99,900",0.85,999|USD|86913|999|flipkart|0.95,99900|INR|99900|1148.28|flipkart|0.85,https://www.flipkart.com/apple-iphone-14-pro-space-black-128-gb/p/itm9ae97298ecc7e,flipkart|iPhone 14 Pro|1,,false,,2022,,,,,,,,,,,,,,,,,,,,not_eligible,,,
iphone-14-pro-max-apple-a16-ios,iPhone 14 Pro Max,Apple,ios,2022-09-16,A16,Other,other,Other,1273098,40,109900,INR,109900,1263.22,current,flipkart,"INR 109,900",0.85,1099|USD|95613|1099|flipkart|0.95,109900|INR|109900|1263.22|flipkart|0.85,https://www.flipkart.com/apple-iphone-14-pro-max-space-black-128-gb/p/itm5a60c337440ce,flipkart|iPhone 14 Pro Max|1,,false,,2022,,,,,,,,,,,,,,,,,,,,not_eligible,,,
poco-x6-pro-5g-poco-dimensity-8300-android,Poco X6 Pro 5G,POCO,android,2024-01-12,Dimensity 8300,MediaTek,premium,Dimensity 8300,1520623,59,22999,INR,22999,264.36,current,smartprix,"INR 22,999",0.9,350|USD|30450|350|smartprix|0.95,22999|INR|22999|264.36|smartprix|0.9,https://www.smartprix.com/mobiles/poco-x6-pro-5g-ppd12aey24m9,smartprix|Poco X6 Pro 5G|1,,false,,2024,,,,,,,,,,,,,,,,,,,,not_eligible,,,
infinix-gt-20-pro-infinix-dimensity-8200-android,Infinix GT 20 Pro,Infinix,android,2024-04-28,Dimensity 8200,MediaTek,premium,Dimensity 8200,1291831,60,22999,INR,22999,264.36,current,smartprix,"INR 22,999",0.9,300|USD|26100|300|smartprix|0.95,22999|INR|22999|264.36|smartprix|0.9,https://www.smartprix.com/mobiles/infinix-gt-20-pro-ppd12aey24m9,smartprix|Infinix GT 20 Pro|1,,false,,2024,,,,,,,,,,,,,,,,,,,,not_eligible,,,
